42.0272529,-87.7047811,man_made
42.0350304,-87.7086704,man_made
42.0944728,-87.718672,man_made
42.0514727,-87.6732343,man_made
42.001106,-87.6593933,man_made
42.0512624,-87.6770488,historic
42.0740992,-87.6840835,natural
42.0744696,-87.6847728,natural
42.0740852,-87.6843973,natural
42.0742306,-87.6846843,natural
42.0742645,-87.6838421,natural
42.0744059,-87.6838019,natural
42.0741789,-87.6839413,natural
42.0746926,-87.684636,natural
42.074149,-87.6845663,natural
42.0746641,-87.6839037,natural
42.0745253,-87.6838099,natural
42.0747812,-87.6841812,natural
42.0740734,-87.6842525,natural
42.0748041,-87.6843303,natural
42.0747641,-87.6844966,natural
42.074591,-87.6847299,natural
42.0747262,-87.6839988,natural
42.0743321,-87.6847567,natural
41.9999542,-87.6721988,man_made
42.0593936,-87.69496,tourism
42.0400616,-87.7105335,tourism
42.0399583,-87.7103062,tourism
42.0397715,-87.7105235,tourism
42.0394777,-87.7104327,tourism
42.0392231,-87.7104327,tourism
42.0389106,-87.7104025,tourism
42.0387234,-87.7103395,tourism
42.038759,-87.7105663,tourism
42.0378138,-87.710274,tourism
42.0375874,-87.7103849,tourism
42.023416,-87.7055544,natural
42.0095855,-87.6921364,tourism
42.0090156,-87.6934504,tourism
42.006865,-87.6551655,man_made
42.0850556,-87.696329,natural
42.0493142,-87.6731779,natural
42.0474576,-87.6727407,natural
42.0418784,-87.6706846,natural
42.0738554,-87.6842412,natural
42.0750947,-87.6845899,natural
42.074168,-87.6833628,natural
42.0748538,-87.6848286,natural
42.0747872,-87.6835358,natural
42.0737916,-87.6840602,natural
42.0737329,-87.6842492,natural
42.0747085,-87.6835023,natural
42.0743342,-87.6832448,natural
42.0738245,-87.6837597,natural
42.0749026,-87.6838362,natural
42.0738673,-87.6844558,natural
42.0747314,-87.6849667,natural
42.0740764,-87.6830986,natural
41.9958368,-87.6787441,leisure
42.0738855,-87.6847416,natural
42.0738198,-87.6845726,natural
42.0738936,-87.6837941,natural
42.073847,-87.6839144,natural
42.0739932,-87.6837824,natural
42.0737973,-87.6832768,natural
42.0739466,-87.6831458,natural
42.0740556,-87.6832949,natural
42.0744341,-87.6834162,natural
42.0747778,-87.6836695,natural
42.0747383,-87.6836195,natural
42.0746419,-87.6835631,natural
42.0745692,-87.6835503,natural
42.0748923,-87.6836546,natural
42.0749429,-87.6839154,natural
42.0749951,-87.6841017,natural
42.0749832,-87.6840229,natural
42.0749856,-87.6843444,natural
42.0739314,-87.683894,natural
42.0739008,-87.6839698,natural
42.0544769,-87.6738243,leisure
42.0552998,-87.6742238,natural
42.0552279,-87.6742302,natural
42.0550975,-87.6742324,natural
42.0549742,-87.674226,natural
42.0548059,-87.6742313,natural
